kind,name,category,sub_category,prefix_str,layout_kind,checkLen,skipLen,version,ton_commit_hash,ton_file_path,ton_line_number,ton_function_name
tvm,QMIN,arithmetic,other_arith,B7B608,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,QMAX,arithmetic,other_arith,B7B609,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,QMINMAX,arithmetic,other_arith,B7B60A,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,QABS,arithmetic,other_arith,B7B60B,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,936,exec_abs
tvm,SGN,arithmetic,int_cmp,B8,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,961,exec_sgn
tvm,LESS,arithmetic,int_cmp,B9,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,EQUAL,arithmetic,int_cmp,BA,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,LEQ,arithmetic,int_cmp,BB,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,GREATER,arithmetic,int_cmp,BC,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,NEQ,arithmetic,int_cmp,BD,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,GEQ,arithmetic,int_cmp,BE,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,CMP,arithmetic,int_cmp,BF,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,ISNAN,arithmetic,int_cmp,C4,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,1007,exec_is_nan
tvm,CHKNAN,arithmetic,int_cmp,C5,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,1016,exec_chk_nan
tvm,QSGN,arithmetic,int_cmp,B7B8,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,961,exec_sgn
tvm,QLESS,arithmetic,int_cmp,B7B9,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,QEQUAL,arithmetic,int_cmp,B7BA,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,QLEQ,arithmetic,int_cmp,B7BB,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,QGREATER,arithmetic,int_cmp,B7BC,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,QNEQ,arithmetic,int_cmp,B7BD,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,QGEQ,arithmetic,int_cmp,B7BE,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,QCMP,arithmetic,int_cmp,B7BF,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,975,exec_cmp
tvm,SEMPTY,cell,cell_cmp,C700,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,251,exec_un_cs_cmp
tvm,SDEMPTY,cell,cell_cmp,C701,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,251,exec_un_cs_cmp
tvm,SREMPTY,cell,cell_cmp,C702,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,251,exec_un_cs_cmp
tvm,SDFIRST,cell,cell_cmp,C703,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,251,exec_un_cs_cmp
tvm,SDLEXCMP,cell,cell_cmp,C704,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,277,exec_ibin_cs_cmp
tvm,SDEQ,cell,cell_cmp,C705,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
tvm,SDPFX,cell,cell_cmp,C708,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
tvm,SDPFXREV,cell,cell_cmp,C709,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
tvm,SDPPFX,cell,cell_cmp,C70A,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
