kind,name,category,sub_category,implemented,tested,notes
tvm,SSKIPLAST,cell,cell_deserialize,false,false,
tvm,SUBSLICE,cell,cell_deserialize,false,false,
tvm,SPLIT,cell,cell_deserialize,false,false,
tvm,SPLITQ,cell,cell_deserialize,false,false,
tvm,XCTOS,cell,cell_deserialize,false,false,
tvm,XLOAD,cell,cell_deserialize,false,false,
tvm,XLOADQ,cell,cell_deserialize,false,false,
tvm,SCHKBITS,cell,cell_deserialize,false,false,
tvm,SCHKREFS,cell,cell_deserialize,false,false,
tvm,SCHKBITREFS,cell,cell_deserialize,false,false,
tvm,SCHKBITSQ,cell,cell_deserialize,false,false,
tvm,SCHKREFSQ,cell,cell_deserialize,false,false,
tvm,SCHKBITREFSQ,cell,cell_deserialize,false,false,
tvm,PLDREFVAR,cell,cell_deserialize,false,false,
tvm,SBITS,cell,cell_deserialize,false,false,
tvm,SREFS,cell,cell_deserialize,false,false,
tvm,SBITREFS,cell,cell_deserialize,false,false,
tvm,LDZEROES,cell,cell_deserialize,false,false,
tvm,LDONES,cell,cell_deserialize,false,false,
tvm,LDSAME,cell,cell_deserialize,false,false,
tvm,SDEPTH,cell,cell_deserialize,false,false,
tvm,CDEPTH,cell,cell_deserialize,false,false,
tvm,CLEVEL,cell,cell_deserialize,false,false,
tvm,CLEVELMASK,cell,cell_deserialize,false,false,
tvm,CHASHIX,cell,cell_deserialize,false,false,
tvm,CDEPTHIX,cell,cell_deserialize,false,false,
tvm,EXECUTE,continuation,continuation_jump,false,false,
tvm,JMPX,continuation,continuation_jump,false,false,
tvm,RET,continuation,continuation_jump,false,false,
tvm,RETALT,continuation,continuation_jump,false,false,
tvm,RETBOOL,continuation,continuation_jump,false,false,
tvm,CALLCC,continuation,continuation_jump,false,false,
tvm,JMPXDATA,continuation,continuation_jump,false,false,
tvm,CALLXVARARGS,continuation,continuation_jump,false,false,
tvm,RETVARARGS,continuation,continuation_jump,false,false,
